trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,take_profit_pct,stop_loss_pct,rsi_range,ema_filter,atr_filter,volume_filter,breakout_filter
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:49:17.799490,SOLUSDT,85,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:49:24.308000,SOLUSDT,85,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:49:30.813497,XRPUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:49:37.453134,XRPUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:49:45.230207,XRPUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:49:53.816165,XRPUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:50:02.101271,XRPUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:50:10.085678,XRPUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:50:17.334067,XRPUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:50:24.900124,XRPUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:50:36.652825,XRPUSDT,80,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
