entry_index,exit_index,holding_bars,entry_price,exit_price,profit,profit_pct,result,ai_score,rsi,atr_pct,volume_ratio,ema_gap_pct,loss_reason
8030,8057,27,1104.57,1165.3,137.4517,5.4981,WIN,100.0,64.19809821654329,0.5348,1.2731,0.456,WIN
8058,8306,248,1154.45,1202.54,104.1405,4.1656,WIN,80.0,67.78990596385817,0.8355,2.5005,1.5089,WIN
8307,8413,106,1214.52,1264.67,103.2301,4.1292,WIN,80.0,75.48853335726574,0.6149,5.9877,0.8293,WIN
8414,8426,12,1269.8,1338.69,135.6316,5.4253,WIN,80.0,68.10877521060496,0.7763,1.7498,0.9068,WIN
8427,8437,10,1321.91,1294.46,-51.9135,-2.0765,LOSS,80.0,72.85583925850024,1.0444,2.3998,1.9178,RSI_TOO_HIGH
8438,8581,143,1285.45,1259.53,-50.4104,-2.0164,LOSS,100.0,46.285095170737904,1.3094,3.2102,1.6332,FALSE_SIGNAL
8600,8605,5,1307.89,1281.65,-50.1571,-2.0063,LOSS,100.0,56.84711695905247,0.7521,2.0759,0.0371,FALSE_SIGNAL
8905,8919,14,1230.12,1280.19,101.7584,4.0703,WIN,80.0,73.45396750407335,0.9482,1.4082,2.1907,WIN
8920,8979,59,1273.05,1328.53,108.9509,4.358,WIN,80.0,70.75496453453826,1.2066,1.8433,2.7043,WIN
8980,8999,19,1320.67,1269.99,-95.9362,-3.8374,LOSS,100.0,61.24897116209568,0.8945,4.5674,0.8422,FALSE_SIGNAL
9051,9062,11,1307.39,1276.62,-58.8386,-2.3535,LOSS,100.0,64.92160387439904,0.6447,1.0378,0.1075,LOW_VOLATILITY
9598,9626,28,1128.78,1105.73,-51.0507,-2.042,LOSS,80.0,67.00294600465462,0.6156,1.1897,0.9311,FALSE_SIGNAL
9641,9690,49,1128.17,1099.46,-63.6207,-2.5448,LOSS,80.0,69.7410555855927,0.5616,4.0289,0.0165,FALSE_SIGNAL
9938,10303,365,1100.68,1144.94,100.5288,4.0212,WIN,80.0,73.49834163243776,0.3899,2.4995,0.609,WIN
10304,10416,112,1150.18,1126.46,-51.5571,-2.0623,LOSS,80.0,72.83876210044167,0.373,2.7205,0.4323,RSI_TOO_HIGH
10449,10474,25,1144.46,1120.46,-52.4265,-2.0971,LOSS,100.0,64.09141990033635,0.3435,1.2855,0.0772,LOW_VOLATILITY
10879,10978,99,1093.59,1068.19,-58.0656,-2.3226,LOSS,100.0,51.77290436113707,0.1634,1.388,0.0961,LOW_VOLATILITY
11380,11398,18,965.72,941.93,-61.5862,-2.4634,LOSS,100.0,57.0850466626995,0.4926,1.112,0.6181,LOW_VOLATILITY
11430,11816,386,983.17,962.72,-52.0002,-2.08,LOSS,80.0,77.17523365847106,0.7145,1.1861,0.6601,RSI_TOO_HIGH
12191,12282,91,937.5,918.64,-50.2933,-2.0117,LOSS,100.0,56.49930237122103,0.3345,2.517,0.185,LOW_VOLATILITY
12507,12568,61,927.89,907.02,-56.2297,-2.2492,LOSS,80.0,40.0133508106512,0.338,1.1862,0.3738,LOW_VOLATILITY
12939,13247,308,848.67,884.71,106.1661,4.2466,WIN,100.0,63.7125451562523,0.3197,1.1691,0.214,WIN
13248,13539,291,888.25,869.99,-51.3932,-2.0557,LOSS,80.0,81.638627036661,0.5319,2.8412,0.5772,RSI_TOO_HIGH
