symbol,open_time,balance,equity,drawdown
SOLUSDT,2025-09-16T17:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T17:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T18:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T18:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T18:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T18:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T19:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T19:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T19:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T19:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T20:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T20:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T20:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T20:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T21:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T21:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T21:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T21:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T22:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T22:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T22:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T22:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T23:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T23:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T23:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-16T23:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
